root@fx8350:/mnt/c/UDACITY/TERM2/carnd2-proj4/build# ./pid
Listening to port 4567
*********** ITER=128 ***********  PID Kp=0.4 PID Ki=0.001 PID Kd=1.5 MeanE2=0.580946
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=129 ***********  PID Kp=0.45 PID Ki=0.001 PID Kd=1.5 MeanE2=0.519308
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=130 ***********  PID Kp=0.5 PID Ki=0.001 PID Kd=1.5 MeanE2=0.914127
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=131 ***********  PID Kp=0.55 PID Ki=0.001 PID Kd=1.5 MeanE2=0.872742
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=132 ***********  PID Kp=0.6 PID Ki=0.001 PID Kd=1.5 MeanE2=0.431812
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=133 ***********  PID Kp=0.65 PID Ki=0.001 PID Kd=1.5 MeanE2=0.641505
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=134 ***********  PID Kp=0.7 PID Ki=0.001 PID Kd=1.5 MeanE2=0.608248
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=135 ***********  PID Kp=0.75 PID Ki=0.001 PID Kd=1.5 MeanE2=0.917459
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=136 ***********  PID Kp=0.8 PID Ki=0.001 PID Kd=1.5 MeanE2=0.780538
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=137 ***********  PID Kp=0.85 PID Ki=0.001 PID Kd=1.5 MeanE2=0.761908
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=138 ***********  PID Kp=0.9 PID Ki=0.001 PID Kd=1.5 MeanE2=0.730657
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=139 ***********  PID Kp=0.95 PID Ki=0.001 PID Kd=1.5 MeanE2=0.901873
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=140 ***********  PID Kp=0 PID Ki=0.001 PID Kd=1.75 MeanE2=1.63727
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=141 ***********  PID Kp=0.05 PID Ki=0.001 PID Kd=1.75 MeanE2=0.801458
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=142 ***********  PID Kp=0.1 PID Ki=0.001 PID Kd=1.75 MeanE2=0.511621
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=143 ***********  PID Kp=0.15 PID Ki=0.001 PID Kd=1.75 MeanE2=0.283913
mean_error_squared_best=0.226796 kp_best=0.25 ki_best=0.001 kd_best=1.5
*********** ITER=144 ***********  PID Kp=0.2 PID Ki=0.001 PID Kd=1.75 MeanE2=0.198022
mean_error_squared_best=0.198022 kp_best=0.2 ki_best=0.001 kd_best=1.75
